step,lt,err,locked,pred_x,pred_y,pred_z,true_x,true_y,true_z,drive_x,drive_y,drive_z,drive_xz
87,1.57574,0.0812547,1,-0.433679,-0.502786,0.181234,-0.391655,-0.479609,0.0489322,-0.433679,-0.502786,0.163111,-0.0550182
88,1.59386,0.0803841,1,-0.441198,-0.478723,0.229478,-0.408358,-0.481451,0.0942048,-0.441198,-0.478723,0.20653,-0.0708717
89,1.61197,0.0763478,1,-0.44215,-0.445648,0.267698,-0.421502,-0.473946,0.140184,-0.44215,-0.445648,0.240929,-0.082854
90,1.63008,0.0701911,1,-0.43611,-0.406119,0.294076,-0.429999,-0.456835,0.183754,-0.43611,-0.406119,0.264668,-0.0897745
91,1.64819,0.0636741,1,-0.42341,-0.362973,0.308066,-0.433009,-0.430907,0.221717,-0.42341,-0.362973,0.277259,-0.0913068
92,1.6663,0.0580921,1,-0.405284,-0.319881,0.309652,-0.430085,-0.397995,0.251281,-0.405284,-0.319881,0.278686,-0.0878479
93,1.68442,0.0539355,1,-0.382838,-0.280222,0.298209,-0.421274,-0.360732,0.270497,-0.382838,-0.280222,0.268388,-0.0799161
94,1.70253,0.0522405,1,-0.357672,-0.246359,0.276809,-0.407133,-0.322107,0.278534,-0.357672,-0.246359,0.249128,-0.0693049
95,1.72064,0.0521889,1,-0.331663,-0.220053,0.249064,-0.388654,-0.284972,0.275686,-0.331663,-0.220053,0.224158,-0.0578238
96,1.73875,0.0524564,1,-0.306574,-0.201621,0.217456,-0.367118,-0.251627,0.263159,-0.306574,-0.201621,0.19571,-0.0466664
97,1.75686,0.0526227,1,-0.283202,-0.190442,0.183383,-0.343924,-0.223605,0.242717,-0.283202,-0.190442,0.165044,-0.0363541
98,1.77498,0.0521861,1,-0.263107,-0.184326,0.148608,-0.320416,-0.201654,0.216325,-0.263107,-0.184326,0.133747,-0.0273699
99,1.79309,0.0514674,1,-0.24629,-0.183028,0.113145,-0.297771,-0.185867,0.185866,-0.24629,-0.183028,0.10183,-0.0195066
100,1.8112,0.0508933,1,-0.232326,-0.185739,0.0775837,-0.276921,-0.175891,0.152981,-0.232326,-0.185739,0.0698254,-0.0126173
101,1.82931,0.0506122,1,-0.221335,-0.192031,0.0424297,-0.25854,-0.171132,0.119005,-0.221335,-0.192031,0.0381867,-0.00657383
102,1.84742,0.0493034,1,-0.213999,-0.201329,0.0106718,-0.243064,-0.170916,0.0849871,-0.213999,-0.201329,0.00960466,-0.00159863
103,1.86554,0.048405,1,-0.209872,-0.213337,-0.01964,-0.23073,-0.174612,0.0517351,-0.209872,-0.213337,-0.017676,0.00288532
104,1.88365,0.0473666,1,-0.208503,-0.227426,-0.0469484,-0.221625,-0.181687,0.0198836,-0.208503,-0.227426,-0.0422535,0.00685222
