step,lt,err,locked,pred_x,pred_y,pred_z,true_x,true_y,true_z,drive_x,drive_y,drive_z,drive_xz
106,1.91987,0.0608161,1,-0.350568,-0.317892,0.170349,-0.411696,-0.387405,0.22062,-0.350568,-0.317892,0.153315,-0.0418033
107,1.93798,0.0618817,1,-0.339924,-0.304635,0.159401,-0.401827,-0.365622,0.222143,-0.339924,-0.304635,0.143461,-0.0379289
108,1.9561,0.062033,1,-0.329309,-0.294728,0.144726,-0.389887,-0.344967,0.217874,-0.329309,-0.294728,0.130253,-0.0333617
109,1.97421,0.0611723,1,-0.319015,-0.287324,0.128496,-0.376555,-0.326463,0.208393,-0.319015,-0.287324,0.115647,-0.0286945
110,1.99232,0.059411,1,-0.309736,-0.283745,0.110456,-0.362546,-0.310845,0.194513,-0.309736,-0.283745,0.0994101,-0.0239485
111,2.01043,0.0563154,1,-0.30166,-0.282482,0.0931619,-0.348554,-0.298556,0.177167,-0.30166,-0.282482,0.0838457,-0.0196723
112,2.02854,0.0528491,1,-0.295073,-0.284416,0.0752097,-0.335197,-0.289777,0.15731,-0.295073,-0.284416,0.0676887,-0.0155347
113,2.04666,0.0484589,1,-0.290018,-0.287789,0.0587379,-0.322999,-0.284492,0.135849,-0.290018,-0.287789,0.0528641,-0.0119246
114,2.06477,0.0440483,1,-0.286506,-0.293885,0.0427396,-0.31237,-0.282548,0.113615,-0.286506,-0.293885,0.0384656,-0.00857161
115,2.08288,0.0387601,1,-0.284967,-0.301161,0.0292486,-0.303611,-0.283719,0.0913389,-0.284967,-0.301161,0.0263238,-0.00583444
116,2.10099,0.0338189,1,-0.285262,-0.311208,0.0172765,-0.296923,-0.287747,0.0696665,-0.285262,-0.311208,0.0155488,-0.00344983
117,2.1191,0.0287826,1,-0.287527,-0.322025,0.00797477,-0.292425,-0.294375,0.0491665,-0.287527,-0.322025,0.00717729,-0.00160507
118,2.13722,0.0251762,1,-0.291592,-0.335088,0.000470889,-0.290168,-0.303359,0.03035,-0.291592,-0.335088,0.0004238,-9.61151e-05
119,2.15533,0.0223865,1,-0.297359,-0.348383,-0.00367258,-0.290152,-0.314469,0.0136875,-0.297359,-0.348383,-0.00330532,0.000764451
120,2.17344,0.0218856,1,-0.304537,-0.363072,-0.00500913,-0.292334,-0.327484,-0.000377829,-0.304537,-0.363072,-0.00450821,0.00106783
121,2.19155,0.0228198,1,-0.312961,-0.376817,-0.00166129,-0.296639,-0.342168,-0.0114209,-0.312961,-0.376817,-0.00149516,0.000363943
122,2.20966,0.0259684,1,-0.32232,-0.390983,0.00499177,-0.302962,-0.358254,-0.0190328,-0.32232,-0.390983,0.00449259,-0.00112626
123,2.22778,0.0302117,1,-0.33263,-0.40303,0.0160963,-0.311161,-0.375419,-0.0228265,-0.33263,-0.40303,0.0144867,-0.00374789
124,2.24589,0.0351656,1,-0.343065,-0.414523,0.0302062,-0.321055,-0.393253,-0.0224529,-0.343065,-0.414523,0.0271855,-0.00725388
125,2.264,0.040286,1,-0.353505,-0.422639,0.0479004,-0.332411,-0.411238,-0.0176277,-0.353505,-0.422639,0.0431104,-0.0118531
126,2.28211,0.0448776,1,-0.363017,-0.428616,0.0674259,-0.344933,-0.428734,-0.00817143,-0.363017,-0.428616,0.0606833,-0.0171337
127,2.30022,0.0490458,1,-0.371607,-0.43069,0.088608,-0.358252,-0.444974,0.00593956,-0.371607,-0.43069,0.0797472,-0.0230491
128,2.31834,0.0521473,1,-0.378827,-0.430116,0.109784,-0.371915,-0.459085,0.0245139,-0.378827,-0.430116,0.0988057,-0.0291124
129,2.33645,0.0550079,1,-0.384323,-0.424969,0.130972,-0.385386,-0.470133,0.0470867,-0.384323,-0.424969,0.117875,-0.0352349
130,2.35456,0.0568651,1,-0.387579,-0.416624,0.149825,-0.398058,-0.477202,0.0728746,-0.387579,-0.416624,0.134843,-0.0406484
131,2.37267,0.0588256,1,-0.388227,-0.404322,0.166226,-0.409279,-0.479506,0.100761,-0.388227,-0.404322,0.149603,-0.0451734
132,2.39078,0.0605325,1,-0.386215,-0.389622,0.1784,-0.418392,-0.476509,0.129331,-0.386215,-0.389622,0.16056,-0.0482307
133,2.4089,0.0632427,1,-0.381392,-0.372075,0.187027,-0.424798,-0.468049,0.156963,-0.381392,-0.372075,0.168324,-0.0499313
134,2.42701,0.0661981,1,-0.374134,-0.353528,0.190068,-0.428017,-0.454412,0.181976,-0.374134,-0.353528,0.171061,-0.0497777
135,2.44512,0.0697288,1,-0.364714,-0.334312,0.18868,-0.427751,-0.436356,0.202814,-0.364714,-0.334312,0.169812,-0.04817
136,2.46323,0.0724943,1,-0.354387,-0.317215,0.181341,-0.423935,-0.415034,0.218229,-0.354387,-0.317215,0.163207,-0.0449855
137,2.48134,0.0748014,1,-0.342809,-0.302287,0.170031,-0.416751,-0.391868,0.227419,-0.342809,-0.302287,0.153028,-0.0408016
138,2.49946,0.0761937,1,-0.331188,-0.29082,0.154494,-0.406615,-0.368358,0.230092,-0.331188,-0.29082,0.139044,-0.0358165
139,2.51757,0.0765734,1,-0.319618,-0.282065,0.137216,-0.394134,-0.345903,0.226449,-0.319618,-0.282065,0.123495,-0.0306997
140,2.53568,0.0757484,1,-0.309135,-0.277333,0.117841,-0.380037,-0.325662,0.217092,-0.309135,-0.277333,0.106057,-0.0255002
141,2.55379,0.0733812,1,-0.299891,-0.2752,0.0989964,-0.365102,-0.308472,0.202895,-0.299891,-0.2752,0.0890968,-0.0207817
142,2.5719,0.0701203,1,-0.292284,-0.276707,0.0796075,-0.350086,-0.294836,0.184873,-0.292284,-0.276707,0.0716467,-0.0162876
143,2.59002,0.0658089,1,-0.286365,-0.279613,0.0614355,-0.335671,-0.284961,0.164065,-0.286365,-0.279613,0.0552919,-0.0123151
144,2.60813,0.061145,1,-0.282066,-0.285359,0.0437636,-0.322431,-0.278824,0.141457,-0.282066,-0.285359,0.0393872,-0.00864095
145,2.62624,0.0554669,1,-0.279653,-0.292295,0.0284918,-0.310816,-0.276252,0.117941,-0.279653,-0.292295,0.0256426,-0.00557746
146,2.64435,0.0498292,1,-0.279248,-0.302174,0.0147073,-0.301154,-0.27699,0.0942985,-0.279248,-0.302174,0.0132366,-0.00287489
147,2.66246,0.0438293,1,-0.281035,-0.31313,0.00371519,-0.293665,-0.280751,0.0712067,-0.281035,-0.31313,0.00334367,-0.00073087
148,2.68058,0.0389309,1,-0.284684,-0.326368,-0.00553654,-0.288475,-0.287253,0.0492586,-0.284684,-0.326368,-0.00498289,0.00110332
149,2.69869,0.034615,1,-0.290233,-0.340212,-0.0115127,-0.285642,-0.296238,0.0289816,-0.290233,-0.340212,-0.0103615,0.00233897
150,2.7168,0.0323703,1,-0.297333,-0.355878,-0.0146756,-0.285164,-0.307469,0.0108591,-0.297333,-0.355878,-0.0132081,0.00305449
151,2.73491,0.0313414,1,-0.305907,-0.370879,-0.0132724,-0.287002,-0.320728,-0.00465308,-0.305907,-0.370879,-0.0119451,0.00284208
152,2.75302,0.0332502,1,-0.315701,-0.387091,-0.00821545,-0.291083,-0.335792,-0.0171139,-0.315701,-0.387091,-0.0073939,0.00181554
153,2.77114,0.0367225,1,-0.32672,-0.401272,0.00207438,-0.297305,-0.352415,-0.0260926,-0.32672,-0.401272,0.00186694,-0.000474419
154,2.78925,0.041958,1,-0.338115,-0.414996,0.0159623,-0.305535,-0.370293,-0.0311712,-0.338115,-0.414996,0.0143661,-0.00377797
155,2.80736,0.0476874,1,-0.349716,-0.425312,0.0339422,-0.315602,-0.389041,-0.0319584,-0.349716,-0.425312,0.030548,-0.00830909
